ID,GPA,SAT,Status
164924,4.0,1460.0,1
164924,4.0,1400.0,1
164924,3.84,1550.0,0
164924,3.98,1440.0,0.5
164924,3.78,1040.0,0
164924,3.7,1430.0,0.5
164924,3.2,1260.0,0
164924,3.96,1540.0,1
164924,3.8,1460.0,0
164924,4.0,1500.0,1
164924,4.0,1200.0,1
164924,4.0,1450.0,1
164924,4.0,1510.0,1
164924,4.0,1500.0,0.5
164924,3.92,1480.0,1
164924,4.0,1550.0,1
164924,4.0,1520.0,0.5
164924,3.9211,1530.0,1
164924,3.8,1490.0,1
164924,4.0,1450.0,1
164924,3.877,1460.0,1
164924,4.0,1520.0,1
164924,3.8,1550.0,0.5
164924,3.91,1590.0,1
164924,3.9,1550.0,1
164924,3.2,1220.0,1
164924,3.9,1460.0,0.5
164924,4.0,1540.0,0.5
164924,3.74,1550.0,0
164924,3.5,1340.0,1
164924,3.9,1440.0,0
164924,4.0,1590.0,1
164924,3.8,1540.0,1
164924,3.9,1310.0,0
164924,4.0,1300.0,1
164924,3.2,1250.0,0.5
164924,3.92,1540.0,1
164924,3.5,1530.0,0.5
164924,3.86,1560.0,1
164924,3.6,1390.0,0
164924,3.809,1540.0,1
164924,4.0,1540.0,1
164924,3.75,1540.0,1
164924,3.9,1280.0,0.5
164924,4.0,1500.0,0.5
164924,3.5,1560.0,0.5
164924,3.98,1590.0,1
164924,3.7,1350.0,0.5
164924,4.0,1520.0,0.5
164924,3.18,1370.0,0
164924,3.963,1500.0,1
164924,4.0,1580.0,1
164924,3.9,1150.0,0
164924,3.9,1430.0,0.5
164924,3.7,1510.0,0
164924,3.5,1370.0,1
164924,3.9,1560.0,1
164924,3.9,1520.0,0
164924,3.9,1430.0,0
164924,3.8,1460.0,0
164924,3.45,1320.0,1
164924,3.84,1540.0,1
164924,3.9,1460.0,0
164924,3.95,1540.0,1
164924,3.91,1330.0,1
164924,3.75,1380.0,0
164924,3.8,1430.0,0.5
164924,4.0,1500.0,0.5
164924,3.7,1500.0,0
164924,4.0,1580.0,1
164924,4.0,1500.0,1
164924,3.7,1330.0,0
164924,3.97,1510.0,1
164924,3.9,1350.0,0
164924,4.0,1540.0,1
164924,3.92,1490.0,0.5
164924,3.7,1540.0,1
164924,4.0,1500.0,1
164924,3.9,1540.0,1
164924,4.0,1500.0,0
164924,4.0,1470.0,1
164924,3.9,1470.0,1
164924,4.0,1510.0,1
164924,3.94,1520.0,1
164924,3.94,1430.0,0.5
164924,3.7,1480.0,0
164924,3.2,1100.0,0.5
164924,4.0,1400.0,1
164924,4.0,1300.0,0
164924,3.89,1470.0,0.5
164924,3.83,1430.0,0
164924,3.7,1380.0,0
164924,3.8,1540.0,0
164924,3.9,1520.0,1
164924,3.89,1400.0,0
164924,3.9,1360.0,0
164924,3.9,1500.0,0
164924,3.98,1470.0,0.5
164924,3.99,1460.0,1
164924,4.0,1530.0,0.5
164924,3.9,1180.0,0
164924,4.0,1500.0,1
164924,3.86,1300.0,0.5
164924,3.9,1400.0,1
216339,3.85,1480.0,1
216339,3.9,1460.0,1
216339,3.4,1370.0,1
216339,3.6,1160.0,1
216339,3.95,1460.0,1
216339,3.1,1370.0,1
216339,3.5,1250.0,1
216339,3.4,1420.0,1
216339,3.67,1480.0,1
216339,3.2,1200.0,1
216339,3.85,1450.0,1
216339,4.0,1460.0,1
216339,2.8,1090.0,1
216339,4.0,1450.0,1
216339,4.0,1330.0,1
216339,4.0,1240.0,1
216339,3.72,1340.0,1
216339,4.0,1260.0,1
216339,4.0,1250.0,1
216339,2.0,900.0,1
216339,3.7,1300.0,1
216339,3.2,1100.0,1
216339,3.2,1110.0,1
216339,3.5,1530.0,1
216339,3.8,1280.0,1
216339,3.8,1170.0,1
216339,3.6,1410.0,1
216339,3.6,1390.0,1
216339,3.7,1350.0,1
216339,3.24,1130.0,1
216339,3.0,1190.0,1
216339,3.7,1270.0,1
216339,3.47,1180.0,1
216339,3.67,1430.0,1
216339,3.84,1450.0,1
216339,3.7,1360.0,1
216339,3.3,1190.0,1
216339,3.8,1550.0,1
216339,4.0,1560.0,1
216339,3.99,1420.0,1
216339,4.0,1320.0,1
216339,4.0,1490.0,1
216339,4.0,1440.0,1
216339,3.14,1320.0,1
216339,3.4,1180.0,1
216339,3.58,1240.0,1
216339,3.7,1510.0,1
216339,3.89,1160.0,1
216339,4.0,1500.0,1
216339,4.0,1380.0,1
216339,3.85,1480.0,0.5
216339,3.7,1200.0,1
216339,4.0,1510.0,1
216339,3.86,1300.0,1
216339,4.0,1400.0,1
216339,3.7,1150.0,0.5
216339,3.9,1520.0,1
216339,3.1,1280.0,1
216339,3.2,1400.0,1
216339,3.6,1300.0,1
216339,3.9,1010.0,1
216339,3.0,1000.0,1
216339,3.94,1180.0,1
216339,3.2,1160.0,1
216339,3.6,1190.0,1
216339,3.5,1490.0,1
216339,3.7,1210.0,1
216339,3.9,1440.0,1
216339,3.66,1200.0,1
216339,3.0,1480.0,1
216339,2.9,1380.0,1
216339,3.89,1280.0,1
216339,3.3,1170.0,1
216339,3.8,1530.0,1
216339,3.5,1520.0,1
216339,3.75,1460.0,1
216339,3.56,1110.0,1
216339,3.7,1400.0,1
216339,2.7,1050.0,0.5
216339,3.5,1450.0,1
216339,3.9,1370.0,1
216339,3.9,1460.0,1
216339,3.2,1310.0,1
216339,3.8,1440.0,1
216339,3.8,1120.0,1
201645,3.6,1580.0,1
201645,4.0,1410.0,0.5
201645,3.95,1220.0,1
201645,3.93,1530.0,1
201645,3.6,1260.0,1
201645,4.0,1510.0,0.5
201645,3.8,1380.0,1
201645,4.0,1430.0,0
201645,3.97,1500.0,1
201645,3.64,1390.0,1
201645,3.7,1510.0,0.5
201645,3.9,1430.0,1
201645,4.0,1285.0,1
201645,3.9,1430.0,0
201645,3.5,1500.0,0.5
201645,3.78,1500.0,1
201645,3.71,1500.0,1
201645,4.0,1350.0,1
201645,3.8,1460.0,1
201645,4.0,1350.0,1
201645,4.0,1430.0,1
201645,4.0,1430.0,0.5
201645,4.0,1460.0,1
201645,4.0,1350.0,1
201645,4.0,1550.0,0.5
201645,4.0,1580.0,0.5
201645,3.8,1500.0,1
201645,3.6,1290.0,1
201645,3.8,1580.0,1
201645,4.0,1540.0,1
201645,3.99,1370.0,1
201645,4.0,1540.0,0.5
201645,3.7,1520.0,0.5
201645,4.0,1450.0,1
201645,3.8,1490.0,1
201645,3.43,1300.0,0
201645,3.83,1500.0,1
201645,4.0,1370.0,1
201645,4.0,1530.0,0
201645,3.8,1400.0,1
201645,4.0,1460.0,0.5
201645,3.98,1410.0,0.5
201645,3.95,1460.0,0
201645,3.91,1510.0,0.5
201645,3.97,1480.0,1
201645,3.7,1540.0,1
201645,3.9,1430.0,1
201645,3.9,1410.0,0
201645,3.85,1520.0,1
201645,3.0,1310.0,0
201645,3.9,1460.0,1
201645,4.0,1510.0,1
201645,3.78,1400.0,1
201645,4.0,1550.0,1
201645,3.77,1470.0,0.5
201645,4.0,1590.0,1
201645,3.8,1500.0,1
201645,3.6,1540.0,0.5
201645,3.5,1370.0,1
201645,3.9,1430.0,0.5
201645,3.77,1410.0,1
201645,3.75,1370.0,1
201645,3.98,1560.0,1
201645,4.0,1500.0,1
201645,3.86,1490.0,1
201645,4.0,1500.0,0.5
201645,3.8,1500.0,1
201645,4.0,1420.0,1
201645,4.0,1350.0,1
201645,4.0,1540.0,1
201645,3.67,1440.0,0.5
201645,3.7,1560.0,1
201645,3.67,1430.0,1
201645,3.6,1550.0,1
201645,4.0,1510.0,1
201645,4.0,1480.0,1
201645,4.0,1550.0,0.5
201645,3.96,1510.0,1
201645,3.8,1590.0,1
201645,3.9,1500.0,1
201645,3.8,1480.0,1
201645,3.5,1000.0,1
201645,3.8,1550.0,0.5
201645,3.7,1430.0,0.5
201645,3.8,1210.0,0.5
201645,4.0,1430.0,1
201645,3.7,1250.0,1
201645,3.9,1420.0,0
201645,3.65,1500.0,0
201645,3.78,1550.0,1
201645,3.56,1330.0,1
201645,3.8,1460.0,0.5
201645,4.0,1410.0,1
201645,3.81,1510.0,0.5
201645,4.0,1500.0,1
201645,3.9,1510.0,1
201645,4.0,1500.0,1
201645,3.96,1290.0,1
201645,4.0,1540.0,1
201645,2.8,1100.0,1
201645,3.95,1530.0,1
201645,3.98,1550.0,1
201645,4.0,1540.0,1
201645,4.0,1540.0,1
201645,3.84,1540.0,1
201645,4.0,1390.0,0.5
201645,3.67,1540.0,1
201645,3.9,1460.0,0.5
201645,3.9,1440.0,1
201645,3.95,1500.0,0.5
201645,4.0,1520.0,1
201645,3.75,1240.0,1
201645,3.8,1180.0,1
201645,2.8,1500.0,0
201645,4.0,1520.0,1
201645,3.7,1430.0,0.5
201645,4.0,1540.0,1
201645,3.9,1500.0,1
201645,3.8,1490.0,1
201645,3.9,1290.0,0
201645,3.85,1470.0,1
201645,3.7,1510.0,1
201645,3.95,1500.0,1
201645,3.93,1590.0,1
201645,3.85,1485.0,0
201645,3.6,1430.0,0.5
201645,3.8,1430.0,1
201645,4.0,1540.0,1
201645,4.0,1300.0,0.5
201645,3.96,1370.0,1
201645,4.0,1510.0,1
201645,3.4,1460.0,1
201645,4.0,1430.0,1
201645,3.67,1410.0,1
201645,4.0,1460.0,0.5
201645,3.95,1430.0,1
201645,3.9,1250.0,1
201645,4.0,1520.0,1
201645,3.54,1320.0,0.5
201645,4.0,1380.0,1
201645,3.67,1430.0,1
201645,3.6,1420.0,0
201645,3.9,1520.0,1
201645,3.9,1590.0,0.5
201645,4.0,1540.0,1
201645,4.0,1530.0,1
201645,3.7,1210.0,1
201645,3.5,1560.0,0.5
201645,3.8,1360.0,1
201645,4.0,1350.0,1
201645,3.45,1480.0,1
201645,4.0,1430.0,0
201645,3.76,1440.0,1
201645,3.7,1390.0,1
201645,3.84,1350.0,1
201645,3.68,1550.0,0
201645,3.77,1560.0,1
201645,3.67,1540.0,1
201645,3.9,1540.0,1
201645,3.96,1550.0,1
201645,3.98,1430.0,1
201645,3.67,1540.0,1
201645,4.0,1310.0,1
201645,3.854,1340.0,1
201645,3.2,1100.0,0.5
201645,3.65,1360.0,1
201645,4.0,1470.0,1
201645,3.8,1430.0,0.5
201645,3.9,1430.0,1
201645,4.0,1400.0,1
201645,4.0,1470.0,1
201645,4.0,1380.0,0.5
201645,4.0,1430.0,0
201645,3.64,1470.0,1
201645,3.97,1320.0,1
201645,3.9,1490.0,1
